id,here_name
1,"Adamou Evangelia"
2,"Alaverdian K."
3,"Alberti Alberto"
4,"Ambrosiani Per"
5,"Anstatt Tanja"
6,"Arkhanhelska Alla"
7,"Armianov Gueorgui"
8,"Autant-Mathieu Marie-Christine"
9,"Banasiak Jakub"
10,"Barentsen Adrian"
11,"Bartels Hauke"
12,"Bartmiński Jerzy"
13,"Belaj Branimir"
14,"Belentschikow Renate"
15,"Beretta Cristina"
16,"Berger Tilman"
17,"Bernitskaïa Natalia"
18,"Besters-Dilger Juliane"
19,"Biagini Francesca"
20,"Birzer Sandra"
21,"Botica Stipe"
22,"Bracquenier Christine"
23,"Branchesi Giulia"
24,"Brehmer Bernhard"
25,"Breu Walter"
26,"Brogi Giovanna"
27,"Brozović-Rončević Dunja"
28,"Brtáňová Erika"
29,"Brüggemann Mark"
30,"Brzozowska-Krajka Anna"
31,"Bunčić Daniel"
32,"Burenina-Petrova Olga"
33,"Čajka František"
34,"Čelić Željka"
35,"Čermák Václav"
36,"Černý Marcel"
37,"Chlebda Wojciech"
38,"Cicėnienė R."
39,"Čistiakova M."
40,"Constantin Geambaşu"
41,"Cychnerska Anna"
42,"Cymborska-Leboda Maria"
43,"Daiber Thomas"
44,"Danilova Irina"
45,"Detrez R."
46,"Dumitrescu Maria"
47,"Dunaeva Andreea"
48,"Dzięgiel Ewa"
49,"Engelking Anna"
50,"Fałowski Adam"
51,"Fellerer Jan"
52,"Ferenčíková Adriana"
53,"Font Márta"
54,"Frančić Anđela"
55,"Frolcová Věra"
56,"Fuderer Tetyana"
57,"Furlan Metka"
58,"Gajda Stanisław"
59,"Gałkowski Artur"
60,"Garbul L."
61,"Garzaniti Marcello"
62,"Garzonio Stefano"
63,"Gigante G."
64,"Gimpelevich Zina"
65,"Gladkova Hana"
66,"Głuszkowski Michał"
67,"Golachowska Ewa"
68,"Graf Elena"
69,"Grešlík Vladislav"
70,"Grgić Ana"
71,"Grzesik Ryszard"
72,"Guentchéva Zlatka"
73,"Gvozdanovic Jadranka"
74,"Gyöngyösi Mária"
75,"Hegedűs Iván"
76,"Hentschel Gerd"
77,"Hladký Ladislav"
78,"Hlôšková Hana"
79,"Hoffmannová Jana"
80,"Hose Sussane"
81,"Hučková Dana"
82,"Huszár Sylvia"
83,"Ibrišimović-Sabić Adijata"
84,"Ivanković Katica"
85,"Jakiša Miranda"
86,"Jakóbiec-Semkowowa Milica"
87,"Jakubowicz Mariola"
88,"Janssen Bibi"
89,"Janyšková Ilona"
90,"Jekutsch Ulrike"
91,"Jelínková Dagmar"
92,"Jobert Véronique"
93,"Kabakova Galina"
94,"Kajfosz Jan"
95,"Kakridis Yannis"
96,"Kapetanović Amir"
97,"Káprály Mihály"
98,"Karlić Virna"
99,"Karlíková Helena"
100,"Kiklewicz Aleksander"
101,"Kirschbaum Heinrich"
102,"Kiss-Szemán Róbert"
103,"Kleszczowa Krystyna"
104,"Kloferová Stanislava"
105,"Kodrić Sanjin"
106,"Konickaja Jelena"
107,"Kononenko Natalie"
108,"Korytkowska Małgorzata"
109,"Kos Suzana"
110,"Košková Mária"
111,"Kosta Peter"
112,"Kotłowska Anna"
113,"Kovacs Oxana"
114,"Krasowska Helena"
115,"Krause Marion"
116,"Krawczyk-Wasilewska Violetta"
117,"Kretschmer Anna"
118,"Krško Jaromír"
119,"Kuligowska-Korzeniewska Anna"
120,"Kuna Branko"
121,"Kurek Halina"
122,"Kustanovich Konstantin"
123,"Lagerburg Robert"
124,"Lavrov Aleksandr"
125,"Łaziński Marek"
126,"Lazorčáková Tatjana"
127,"Lewaszkiewicz Tadeusz"
128,"Lomagistro Barbara"
129,"Łucewicz Ludmiła"
130,"Łuczków Iwona"
